L 603180,4 miss eviction 
S 643d20,4 miss eviction 
L 603184,4 hit 
S 643da0,4 miss eviction 
L 603188,4 hit 
S 643e20,4 miss eviction 
L 60318c,4 hit 
S 643ea0,4 miss eviction 
L 603190,4 hit 
S 643f20,4 miss eviction 
L 603194,4 hit 
S 643fa0,4 miss eviction 
L 603198,4 hit 
S 644020,4 miss eviction 
L 60319c,4 hit 
S 6440a0,4 miss eviction 
L 603200,4 miss 
S 643d24,4 hit 
L 603204,4 hit 
S 643da4,4 hit 
L 603208,4 hit 
S 643e24,4 hit 
L 60320c,4 hit 
S 643ea4,4 hit 
L 603210,4 hit 
S 643f24,4 hit 
L 603214,4 hit 
S 643fa4,4 hit 
L 603218,4 hit 
S 644024,4 hit 
L 60321c,4 hit 
S 6440a4,4 hit 
L 603280,4 miss 
S 643d28,4 hit 
L 603284,4 hit 
S 643da8,4 hit 
L 603288,4 hit 
S 643e28,4 hit 
L 60328c,4 hit 
S 643ea8,4 hit 
L 603290,4 hit 
S 643f28,4 hit 
L 603294,4 hit 
S 643fa8,4 hit 
L 603298,4 hit 
S 644028,4 hit 
L 60329c,4 hit 
S 6440a8,4 hit 
L 603300,4 miss 
S 643d2c,4 hit 
L 603304,4 hit 
S 643dac,4 hit 
L 603308,4 hit 
S 643e2c,4 hit 
L 60330c,4 hit 
S 643eac,4 hit 
L 603310,4 hit 
S 643f2c,4 hit 
L 603314,4 hit 
S 643fac,4 hit 
L 603318,4 hit 
S 64402c,4 hit 
L 60331c,4 hit 
S 6440ac,4 hit 
L 603380,4 miss 
S 643d30,4 hit 
L 603384,4 hit 
S 643db0,4 hit 
L 603388,4 hit 
S 643e30,4 hit 
L 60338c,4 hit 
S 643eb0,4 hit 
L 603390,4 hit 
S 643f30,4 hit 
L 603394,4 hit 
S 643fb0,4 hit 
L 603398,4 hit 
S 644030,4 hit 
L 60339c,4 hit 
S 6440b0,4 hit 
L 603400,4 miss 
S 643d34,4 hit 
L 603404,4 hit 
S 643db4,4 hit 
L 603408,4 hit 
S 643e34,4 hit 
L 60340c,4 hit 
S 643eb4,4 hit 
L 603410,4 hit 
S 643f34,4 hit 
L 603414,4 hit 
S 643fb4,4 hit 
L 603418,4 hit 
S 644034,4 hit 
L 60341c,4 hit 
S 6440b4,4 hit 
L 603480,4 miss 
S 643d38,4 hit 
L 603484,4 hit 
S 643db8,4 hit 
L 603488,4 hit 
S 643e38,4 hit 
L 60348c,4 hit 
S 643eb8,4 hit 
L 603490,4 hit 
S 643f38,4 hit 
L 603494,4 hit 
S 643fb8,4 hit 
L 603498,4 hit 
S 644038,4 hit 
L 60349c,4 hit 
S 6440b8,4 hit 
L 603500,4 miss 
S 643d3c,4 hit 
L 603504,4 hit 
S 643dbc,4 hit 
L 603508,4 hit 
S 643e3c,4 hit 
L 60350c,4 hit 
S 643ebc,4 hit 
